hunt_name,hunt_type,wma_location,start_date,end_date,permits_available,duration_days,decision_score,quality_score,rut_label,moon_label,competition_label,apps_per_permit_2025,applications_2025
Mahannah/Phil Bryant - Senior Hunt 1,Deer Senior,Mahannah/Phil Bryant,2027-01-14,2027-01-15,100,2,2.56,1.94,Post-Rut (Recovery Period),Good (Quarter Moon),Low,4.18,209
Hell Creek - Senior Hunt 1,Deer Senior,Hell Creek,2026-12-26,2026-12-28,12,3,2.52,1.88,Pre-Peak Rut (Chasing Activity),Fair (Neutral),Low,2.5,30
Pascagoula River (LBTC Unit) - Senior Hunt 1,Deer Senior,Pascagoula River (LBTC Unit),2026-12-31,2027-01-03,8,4,2.41,2.37,Peak Rut (Prime Time),Good (Quarter Moon),Unknown (new or unmatched),,
Cossar State Park - Senior Hunt 1,Deer Senior,Cossar State Park,2026-12-30,2027-01-03,2,5,2.27,2.39,Peak Rut (Prime Time),Good (Quarter Moon),High,13.0,26
Pascagoula River (LBTC Unit) - Senior Hunt 2,Deer Senior,Pascagoula River (LBTC Unit),2027-01-07,2027-01-10,8,4,2.17,2.03,Post-Rut (Recovery Period),Excellent (New Moon Period),Unknown (new or unmatched),,
Cossar State Park - Senior Hunt 3,Deer Senior,Cossar State Park,2027-01-13,2027-01-17,2,5,2.05,1.64,Post-Rut (Recovery Period),Good (Quarter Moon),Moderate,10.0,20
Cossar State Park - Senior Hunt 2,Deer Senior,Cossar State Park,2027-01-06,2027-01-10,2,5,2.03,2.04,Post-Rut (Recovery Period),Excellent (New Moon Period),High,16.5,33
Trim Cane - Senior Hunt 1,Deer Senior,Trim Cane,2026-12-05,2026-12-06,4,2,1.76,1.66,Pre-Rut (Building Activity),Good (Quarter Moon),High,13.25,53
Cossar State Park - Senior Hunt 5,Deer Senior,Cossar State Park,2027-01-27,2027-01-31,2,5,1.66,1.29,Late Season (Food Focus),Good (Quarter Moon),Unknown (new or unmatched),,
Cossar State Park - Senior Hunt 4,Deer Senior,Cossar State Park,2027-01-20,2027-01-24,2,5,1.42,1.18,Late Season (Food Focus),Fair (Neutral),High,12.5,25
